benchmark,network_id,network,domain,fold,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,negative_ratio,is_primary_ratio,family,method
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,sa,0.9382827127364477,0.9648151551326898,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9429500574662415,1853,1853,9265,11118,822,276,10572,0.9508904479222882,9341,0.0,9341,127,9214,76,True,5,False,local_similarity,SA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,so,0.9380012194345377,0.9647914191744023,0.9325418240690772,0.9325418240690772,0.9325418240690772,0.9429256620414466,1853,1853,9265,11118,438,224,10904,0.9807519338010433,9341,0.0,9341,127,9214,76,True,5,False,local_similarity,SO
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,srw,0.9698056018816932,0.9828932473091723,0.9514301133297356,0.9514301133297356,0.9514301133297356,0.959099744527251,1853,1853,9265,11118,1834,101,9385,0.844126641482281,9038,1.2005263107346259e-06,2,0,2,1,True,5,False,quasi_local_walk,SRW-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,aa,0.9346359285108847,0.9652817924230743,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9422438405895106,1853,1853,18530,20383,1216,149,19316,0.9476524554776039,18556,0.0,18556,127,18429,26,True,10,False,local_similarity,AA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,car_aa,0.7127097985862403,0.8420529681743029,0.694009713977334,0.694009713977334,0.694009713977334,0.7386036187480075,1853,1853,18530,20383,1107,89,19365,0.950056419565324,19106,0.0,19106,585,18521,576,True,10,False,enhanced_local,CAR-AA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,car_cn,0.7121047200822592,0.8420339648457352,0.694009713977334,0.694009713977334,0.694009713977334,0.7385619699088825,1853,1853,18530,20383,420,203,20166,0.9893538733258107,19106,0.0,19106,585,18521,576,True,10,False,enhanced_local,CAR-CN
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,car_ra,0.7127567590062016,0.842055982495386,0.694009713977334,0.694009713977334,0.694009713977334,0.7386095295260142,1853,1853,18530,20383,1095,94,19382,0.9508904479222882,19106,0.0,19106,585,18521,576,True,10,False,enhanced_local,CAR-RA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,cn,0.9254845794941958,0.9648911247611478,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9416265478991271,1853,1853,18530,20383,38,38,20383,1.0,18556,0.0,18556,127,18429,26,True,10,False,local_similarity,CN
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,fl,0.9546781046340792,0.9821961091085211,0.9352401511063141,0.9352401511063141,0.9352401511063141,0.9444926635347031,1853,1853,18530,20383,898,167,19652,0.9641367806505421,18042,1.4477495601736835e-07,10,2,8,9,True,10,False,quasi_local_path,FL-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,fsw,0.9294752867621905,0.9648893918905734,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9416666526123574,1853,1853,18530,20383,877,274,19780,0.9704165235735662,18556,0.0,18556,127,18429,26,True,10,False,enhanced_local,FSW
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,hdi,0.9260437188832409,0.9646717054853946,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9412263618872643,1853,1853,18530,20383,365,227,20245,0.9932296521611147,18556,0.0,18556,127,18429,26,True,10,False,local_similarity,HDI
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,hpi,0.9145560192130255,0.9644474079605453,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9384965034502828,1853,1853,18530,20383,217,139,20305,0.9961732816562822,18556,0.0,18556,127,18429,26,True,10,False,local_similarity,HPI
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ia1,0.934704705676323,0.9652892190112502,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9422518047275439,1853,1853,18530,20383,1237,130,19276,0.9456900358141589,18556,0.0,18556,127,18429,26,True,10,False,enhanced_local,IA1
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ia2,0.9341987122484443,0.9652472369451501,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9421938269030383,1853,1853,18530,20383,1230,125,19278,0.9457881567973311,18556,0.0,18556,127,18429,26,True,10,False,enhanced_local,IA2
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ja,0.9271978447225024,0.9647410494322446,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9413582561376773,1853,1853,18530,20383,442,230,20171,0.9895991757837413,18556,0.0,18556,127,18429,26,True,10,False,local_similarity,JA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lit,0.8655109242003337,0.9284551473391409,0.8596869940636805,0.8596869940636805,0.8596869940636804,0.8811196915634912,1853,1853,18530,20383,1572,52,18863,0.9254280527890889,18694,0.0,18694,262,18432,164,True,10,False,enhanced_local,LIT-i2
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,llhn,0.8946899597145461,0.9635669495274506,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9356831470231001,1853,1853,18530,20383,672,257,19968,0.9796398959917578,18556,0.0,18556,127,18429,26,True,10,False,local_similarity,LLHN
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lnb_aa,0.9341021218897003,0.9652239378449904,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9421719879296858,1853,1853,18530,20383,1450,147,19080,0.9360741794632782,18556,0.0,18556,127,18429,26,True,10,False,local_bayesian,LNB-AA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lnb_cn,0.9305528256830393,0.9649295100286608,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9417473440721764,1853,1853,18530,20383,1439,148,19092,0.9366629053623118,18556,0.0,18556,127,18429,26,True,10,False,local_bayesian,LNB-CN
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lnb_ra,0.9346129514626822,0.9652721961061961,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.942231527201652,1853,1853,18530,20383,1450,147,19080,0.9360741794632782,18556,0.0,18556,127,18429,26,True,10,False,local_bayesian,LNB-RA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lpi,0.9546781046340792,0.9821961091085211,0.9352401511063141,0.9352401511063141,0.9352401511063141,0.9444926635347031,1853,1853,18530,20383,898,167,19652,0.9641367806505421,18042,0.005,10,2,8,9,True,10,False,quasi_local_path,LPI-beta-0.001
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,lrw,0.9008859050081858,0.9499273504933148,0.8812736103615758,0.8812736103615758,0.8812736103615758,0.8991403554260642,1853,1853,18530,20383,1911,150,18622,0.9136044743168327,18162,7.203157864407756e-07,8,3,5,4,True,10,False,quasi_local_walk,LRW-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ora_cni,0.9510252255180374,0.981821576073455,0.9163518618456556,0.9163518618456556,0.9163518618456556,0.9281964924474925,1853,1853,18530,20383,2059,135,18459,0.9056076141882942,18042,0.15787039215686274,3,3,0,2,True,10,False,quasi_local_path,ORA-CNI-beta-0.001
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,pa,0.5448779153030139,0.8402032089268172,0.5105234754452239,0.5105234754452239,0.5105234754452239,0.5592906557224806,1853,1853,18530,20383,543,365,20205,0.9912672324976697,1686,119.0,13,3,10,7,True,10,False,degree_based,PA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,pfp,0.9461801234264959,0.9819432847479138,0.9287641662169455,0.9287641662169455,0.9287641662169455,0.9373194584240533,1853,1853,18530,20383,2154,79,18308,0.8981994799587892,18042,0.005291005291005291,2,0,2,2,False,10,False,quasi_local_walk,PFP-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ra,0.9346763868175014,0.9652866561102326,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.942248943406685,1853,1853,18530,20383,1185,152,19350,0.9493205121915321,18556,0.0,18556,127,18429,26,True,10,False,local_similarity,RA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ra_cni,0.9506649815918602,0.9815789741930429,0.9163518618456556,0.9163518618456556,0.9163518618456556,0.9281970599197404,1853,1853,18530,20383,1882,160,18661,0.9155178334886915,18062,0.15784313725490196,3,3,0,2,True,10,False,enhanced_local,RA-CNI
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,sa,0.9279113841097164,0.9647797987481975,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9414275222839291,1853,1853,18530,20383,832,288,19839,0.9733110925771477,18556,0.0,18556,127,18429,26,True,10,False,local_similarity,SA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,so,0.9271978447225024,0.9647410494322446,0.9314624932541824,0.9314624932541824,0.9314624932541824,0.9413582561376773,1853,1853,18530,20383,442,230,20171,0.9895991757837413,18556,0.0,18556,127,18429,26,True,10,False,local_similarity,SO
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,srw,0.9643257336960137,0.982944519891461,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9485307548313832,1853,1853,18530,20383,2019,140,18504,0.9078153363096698,18042,3.124812119775389e-06,1,1,0,1,False,10,False,quasi_local_walk,SRW-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,aa,0.968424000136678,0.9683625887513693,0.9395574743658931,0.9395574743658931,0.9395574743658931,0.9493596800568034,1853,1853,1853,3706,1220,136,2622,0.7075013491635186,1963,0.0,1963,116,1847,110,True,1,True,local_similarity,AA
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,car_aa,0.8472581069571046,0.8471812020530002,0.7733405288720993,0.7733405288720993,0.7733405288720994,0.8064616666114336,1853,1853,1853,3706,1132,91,2665,0.7191041554236374,2418,0.0,2418,566,1852,565,True,1,True,enhanced_local,CAR-AA
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,car_cn,0.8471913097109607,0.8471632908697525,0.7733405288720993,0.7733405288720993,0.7733405288720994,0.8064583683084613,1853,1853,1853,3706,440,207,3473,0.9371289800323799,2418,0.0,2418,566,1852,565,True,1,True,enhanced_local,CAR-CN
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,car_ra,0.8472555096396748,0.8471794546204883,0.7733405288720993,0.7733405288720993,0.7733405288720994,0.8064613459962269,1853,1853,1853,3706,1124,91,2673,0.7212628170534269,2418,0.0,2418,566,1852,565,True,1,True,enhanced_local,CAR-RA
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,cn,0.9679356810410027,0.9681984757146199,0.9395574743658931,0.9395574743658931,0.9395574743658931,0.9493268662046622,1853,1853,1853,3706,40,38,3704,0.9994603345925526,1963,0.0,1963,116,1847,110,True,1,True,local_similarity,CN
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,fl,0.9822361050407562,0.9820869237003981,0.9670804101457097,0.9670804101457097,0.9670804101457097,0.9723803093347447,1853,1853,1853,3706,868,180,3018,0.8143550998381004,1872,0.0,1872,62,1810,19,True,1,True,quasi_local_path,FL-l3
