benchmark,network_id,network,domain,family,method_id,method,parameter,parameter_value,is_primary,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,0.9677402512371375,0.0017826602868789882,0.9676000913661834,0.0018889790119484048,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9500543820844639,0.002915123271194275
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,0.982847598475263,0.0010790158592172221,0.9794758159197364,0.0014562847126927355,0.9489763399665746,0.0025523227095108005,0.9489763399665746,0.0025523227095108005,0.9489763399665746,0.002552322709510788,0.9562631005836479,0.002166001631480152
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,srw,SRW-l5,steps,5.0,False,0.987100867315756,0.001218551307888116,0.9842874521133116,0.0015776621576162747,0.9551610144381122,0.0025984408699306753,0.9551610144381122,0.0025984408699306753,0.9551610144381122,0.0025984408699306753,0.9617037920078776,0.002217419561240876
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,0.9852115740280153,0.0011901485423560063,0.9827686929104289,0.0015616133470929237,0.9507698228744582,0.0024136409131357297,0.9507698228744582,0.0024136409131357297,0.9507698228744582,0.0024136409131357652,0.9577973465866417,0.0020499271154538023
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,0.9875070905989947,0.0007048600077437007,0.9843634782969156,0.0010586438910154576,0.9498422173469674,0.0029947251329321425,0.9498422173469674,0.0029947251329321425,0.9498422173469674,0.0029947251329321425,0.9569807469749394,0.00253980255024561
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,srw,SRW-l7,steps,7.0,False,0.9899974033618667,0.0006086283562737559,0.9869207392811041,0.0008295741760901048,0.9549136427621692,0.0023097701714177225,0.9549136427621692,0.0023097701714177225,0.9549136427621692,0.0023097701714177225,0.9614876756426238,0.0019691627193941085
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,pfp,PFP-l7,steps,7.0,False,0.9876898055665754,0.0006475517588059472,0.9847294544894861,0.0009377262026697168,0.949718474123052,0.00236438633435954,0.949718474123052,0.00236438633435954,0.949718474123052,0.00236438633435954,0.9568976573283587,0.002005570542396202
standard,email_eu_core,email-Eu-core,communication,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,0.9231959738743631,0.0028766609824465096,0.9310465475853629,0.0025338448939817783,0.8568871381377814,0.0035718107773719866,0.8568871381377814,0.0035718107773719866,0.8568871381377814,0.0035718107773719866,0.8718359671185164,0.0031919057400686414
standard,email_eu_core,email-Eu-core,communication,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,0.9393671340700902,0.0023073048761224945,0.9446516356757491,0.0017796796626052154,0.875721261068662,0.004630412869671106,0.875721261068662,0.004630412869671106,0.8757212610686619,0.004630412869671164,0.8894312286892518,0.0041248074546118944
standard,email_eu_core,email-Eu-core,communication,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.94318227132825,0.0022028763209659954,0.9470129401040375,0.0015923515857207123,0.8765170830199137,0.003190525947006103,0.8765170830199137,0.003190525947006103,0.8765170830199137,0.003190525947006103,0.8905739775916649,0.0028830112564336213
