benchmark,network_id,network,domain,fold,family,method_id,method,parameter,parameter_value,is_primary,configuration_scoring_seconds,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count
revision,ego_facebook,ego-Facebook,social,4,quasi_local_walk,pfp,PFP-l3,steps,7.0,False,185.4678600137122,0.9838959061737322,0.9897160562703433,0.9627650097986816,0.9627650097986816,0.9627650097986816,0.9656461288469801,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_path,lpi,LPI-beta-0.001,beta,0.1,False,0.45681007765233517,0.9856945486800961,0.9877125713424456,0.9444147514698022,0.9444147514698022,0.9444147514698022,0.95001220238636,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_path,lpi,LPI-beta-0.001,beta,0.01,False,0.4520047572441399,0.9905830418554944,0.9921157966692103,0.9644278163786448,0.9644278163786448,0.9644278163786448,0.9679713468791197,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.4515249659307301,0.9921520547938112,0.9933319213873356,0.9657343072629015,0.9657343072629015,0.9657343072629017,0.9692627851396168,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,32.66538735991344,0.9942603227147259,0.9950342639364451,0.9717916740899103,0.9717916740899103,0.9717916740899103,0.974739249286229,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,srw,SRW-l3,steps,3.0,True,32.66538735991344,0.9954464271538837,0.9960633505988484,0.974404655858424,0.974404655858424,0.974404655858424,0.9771281198217195,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,32.66538735991344,0.9838689597826238,0.9895852477754858,0.9612803610665717,0.9612803610665717,0.9612803610665717,0.9643284852505912,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,lrw,LRW-l3,steps,5.0,False,143.042305492796,0.9924687481923133,0.993533196694513,0.965496763465764,0.965496763465764,0.965496763465764,0.9690570038424431,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,srw,SRW-l3,steps,5.0,False,143.042305492796,0.9946524840514013,0.9954181319053733,0.9728606211770295,0.9728606211770295,0.9728606211770295,0.9757007999303583,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,pfp,PFP-l3,steps,5.0,False,143.042305492796,0.9830953530697136,0.9890521901983518,0.9597363263851773,0.9597363263851773,0.9597363263851773,0.9629002155937914,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,lrw,LRW-l3,steps,7.0,False,190.38919142028317,0.9907669113731327,0.9919493209852032,0.9593206247401864,0.9593206247401864,0.9593206247401864,0.9635142555489167,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,srw,SRW-l3,steps,7.0,False,190.38919142028317,0.9939732526626872,0.9948537872892774,0.9709008848506443,0.9709008848506443,0.9709008848506443,0.9739234287611794,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,5,quasi_local_walk,pfp,PFP-l3,steps,7.0,False,190.38919142028317,0.9830972824434993,0.9890549145671279,0.9597363263851773,0.9597363263851773,0.9597363263851773,0.9629002155937914,16839,16839,16839,33678
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_path,lpi,LPI-beta-0.001,beta,0.1,False,1.476972980890423,0.9096004283277688,0.9184920574515593,0.8400115188415337,0.8400115188415337,0.8400115188415337,0.8516226082400266,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_path,lpi,LPI-beta-0.001,beta,0.01,False,1.4734169780276716,0.9348398053342524,0.9406861877530281,0.8679858482804015,0.8679858482804015,0.8679858482804015,0.8784443515835201,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,1.4698297162540257,0.9460570791121634,0.9495244654748727,0.8796692446931051,0.8796692446931051,0.8796692446931051,0.8897614502923281,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,122.10827897908166,0.9304066010635507,0.9376045552714167,0.8645713345400691,0.8645713345400691,0.8645713345400691,0.8749731315989346,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,srw,SRW-l3,steps,3.0,True,122.10827897908166,0.9504193520918426,0.9543010705828869,0.8880204048050024,0.8880204048050024,0.8880204048050024,0.8974059527423389,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,122.10827897908166,0.916354474018338,0.9336333038983096,0.8617739015961823,0.8617739015961823,0.8617739015961824,0.870108726547821,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,lrw,LRW-l3,steps,5.0,False,205.4807611340657,0.877222612520748,0.8916655969606657,0.8094454500575942,0.8094454500575942,0.8094454500575943,0.821586091451374,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,srw,SRW-l3,steps,5.0,False,205.4807611340657,0.9356836980665256,0.9421571846915818,0.871523778180023,0.871523778180023,0.871523778180023,0.8815545797536356,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,pfp,PFP-l3,steps,5.0,False,205.4807611340657,0.906534987498892,0.9250011936456741,0.8520240250123416,0.8520240250123416,0.8520240250123415,0.8606120410710454,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,lrw,LRW-l3,steps,7.0,False,207.65202971175313,0.8404292345902671,0.8587535854049435,0.7743129833799572,0.7743129833799572,0.7743129833799572,0.7871534294490128,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,srw,SRW-l3,steps,7.0,False,207.65202971175313,0.9216058397632292,0.9303564410454188,0.8567549777850914,0.8567549777850914,0.8567549777850914,0.8672878240541136,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,pfp,PFP-l3,steps,7.0,False,207.65202971175313,0.9065337094488416,0.9249994657111309,0.8520240250123416,0.8520240250123416,0.8520240250123415,0.8606120044688983,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_path,lpi,LPI-beta-0.001,beta,0.1,False,1.4447832312434912,0.910966671037486,0.919464524119448,0.8419450386703966,0.8419450386703966,0.8419450386703966,0.8534686171077637,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_path,lpi,LPI-beta-0.001,beta,0.01,False,1.424142207019031,0.9358799414712249,0.941791522602169,0.8723054138555209,0.8723054138555209,0.8723054138555209,0.8823408324208685,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,1.4134512492455542,0.94672458341459,0.9505042289006296,0.8836597005101201,0.8836597005101201,0.8836597005101201,0.893323127652973,24308,24308,24308,48616
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,124.57540848106146,0.931753570211876,0.9389550071975498,0.8682738193187428,0.8682738193187428,0.8682738193187428,0.8783345669640023,24308,24308,24308,48616
