benchmark,network_id,network,domain,family,analysis_family,method_id,method,fold_count,mean_distinct_score_count,mean_tie_group_count,mean_tied_candidate_count,mean_tied_candidate_ratio,mean_largest_tie_group,mean_cutoff_tie_size,cutoff_boundary_tie_count,cutoff_boundary_tie_rate
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,car_aa,CAR-AA,5,16718.0,155.6,17116.0,0.5082189342718852,16736.4,2.8,2,0.4
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,car_cn,CAR-CN,5,7735.8,2118.8,28061.4,0.8332165454332839,16736.4,403.6,5,1.0
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,car_ra,CAR-RA,5,16714.0,159.2,17123.6,0.5084445977053326,16736.4,3.8,4,0.8
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,fsw,FSW,5,12029.6,1583.4,23232.2,0.6898249920054663,14768.0,6.6,5,1.0
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,ia1,IA1,5,17014.0,219.8,16884.2,0.5013361856221398,14768.0,1.0,0,0.0
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,ia2,IA2,5,17010.4,221.0,16889.0,0.5014787083739407,14768.0,2.0,2,0.4
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,lit,LIT-i2,5,18366.2,248.4,15560.6,0.46203503869749263,14774.2,1.0,0,0.0
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,ra_cni,RA-CNI,5,20144.8,186.6,13720.2,0.4073887144691114,11420.8,1.0,0,0.0
standard,ego_facebook,ego-Facebook,social,local_bayesian,local_bayesian,lnb_aa,LNB-AA,5,17162.2,163.6,16679.8,0.4952670131928495,14768.0,1.2,0,0.0
standard,ego_facebook,ego-Facebook,social,local_bayesian,local_bayesian,lnb_cn,LNB-CN,5,17159.8,165.6,16684.2,0.4953976608706826,14768.0,1.4,1,0.2
standard,ego_facebook,ego-Facebook,social,local_bayesian,local_bayesian,lnb_ra,LNB-RA,5,17162.2,163.6,16679.8,0.4952670131928495,14768.0,1.0,0,0.0
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,aa,AA,5,16990.8,234.2,16921.8,0.5024526259521677,14768.0,1.8,1,0.2
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,cn,CN,5,139.6,133.0,33671.8,0.9998040284832503,14768.0,558.6,5,1.0
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,hdi,HDI,5,4603.2,2855.0,31930.2,0.948091348285333,14768.0,17.6,5,1.0
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,hpi,HPI,5,2809.6,1903.2,32772.0,0.9730866118679646,14768.0,111.4,4,0.8
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,ja,JA,5,5672.6,3032.2,31038.0,0.9215995943981982,14768.0,27.6,4,0.8
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,llhn,LLHN,5,11501.8,2567.6,24744.2,0.7347202096592023,14768.0,2.4,2,0.4
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,ra,RA,5,16977.0,240.4,16941.8,0.5030464769814559,14768.0,1.4,1,0.2
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,sa,SA,5,14147.6,2359.8,21890.6,0.6499893454412962,14768.0,4.6,3,0.6
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,so,SO,5,5672.6,3032.2,31038.0,0.9215995943981982,14768.0,27.6,4,0.8
standard,ego_facebook,ego-Facebook,social,quasi_local_path,quasi_local_path,fl,FL-l3,5,14982.0,1887.8,20584.2,0.6111988972269019,11420.4,4.4,3,0.6
standard,ego_facebook,ego-Facebook,social,quasi_local_path,quasi_local_path,lpi,LPI-beta-0.001,5,14599.4,2233.0,21312.0,0.6328091895595269,11420.4,4.4,3,0.6
standard,ego_facebook,ego-Facebook,social,quasi_local_path,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,5,20159.4,187.0,13706.0,0.40696707775567376,11420.4,1.0,0,0.0
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,quasi_local_walk,lrw,LRW-l3,5,20270.4,196.4,13604.4,0.40395030468095283,11425.0,1.0,0,0.0
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,quasi_local_walk,pfp,PFP-l3,5,21549.4,407.2,12536.2,0.37223260982627276,11420.4,1.0,0,0.0
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,quasi_local_walk,srw,SRW-l3,5,20275.2,195.8,13599.0,0.4037899636758294,11420.4,1.0,0,0.0
