benchmark,network_id,network,domain,fold,family,method_id,method,parameter,parameter_value,is_primary,configuration_scoring_seconds,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,259.42885103914887,0.9921508542528801,0.9932475206189839,0.9626462379001128,0.9626462379001128,0.9626462379001128,0.9665389101354414,16839,16839,16839,33678,33387,79,370,0.010986400617613872,113,3.98999499480441e-07,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,srw,SRW-l7,steps,7.0,False,259.42885103914887,0.9948302651972227,0.9957042064969821,0.9744640418077083,0.9744640418077083,0.9744640418077083,0.9771154849629181,16839,16839,16839,33678,33387,79,370,0.010986400617613872,113,3.0217832721860973e-06,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,pfp,PFP-l7,steps,7.0,False,259.42885103914887,0.9838959061737322,0.9897160562703433,0.9627650097986816,0.9627650097986816,0.9627650097986816,0.9656461288469801,16839,16839,16839,33678,33494,63,247,0.007334164736623315,113,0.0020170490682729814,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,5,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,110.03468936309218,0.9856945486800961,0.9877125713424456,0.9444147514698022,0.9444147514698022,0.9444147514698022,0.95001220238636,16839,16839,16839,33678,7992,3510,29196,0.8669160876536611,11949,10.2,13,11,2,9,True
standard,ego_facebook,ego-Facebook,social,5,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,93.74976623104885,0.9905830418554944,0.9921157966692103,0.9644278163786448,0.9644278163786448,0.9644278163786448,0.9679713468791197,16839,16839,16839,33678,10612,3934,27000,0.8017103153393907,11949,2.96,5,4,1,1,True
standard,ego_facebook,ego-Facebook,social,5,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,94.16863899305463,0.9921520547938112,0.9933319213873356,0.9657343072629015,0.9657343072629015,0.9657343072629017,0.9692627851396168,16839,16839,16839,33678,14616,2262,21324,0.6331729912702655,11949,2.08,5,4,1,1,True
standard,ego_facebook,ego-Facebook,social,5,quasi_local_path,ora_cni,ORA-CNI-beta-0.1,beta,0.1,False,95.31822974001989,0.9880858279253476,0.9896180936118575,0.949284399311123,0.949284399311123,0.949284399311123,0.9545115961604377,16839,16839,16839,33678,20198,185,13665,0.4057544984856583,11949,1.860596209281736,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,5,quasi_local_path,ora_cni,ORA-CNI-beta-0.01,beta,0.01,False,111.54452230921015,0.9880341689415111,0.9895695945576048,0.9491656274125542,0.9491656274125542,0.9491656274125542,0.9544035312020419,16839,16839,16839,33678,20198,185,13665,0.4057544984856583,11949,1.8551926571042816,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,5,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,beta,0.001,True,85.01577227190137,0.9880288279948691,0.9895645267026776,0.9491656274125542,0.9491656274125542,0.9491656274125542,0.954403172026244,16839,16839,16839,33678,20198,185,13665,0.4057544984856583,11949,1.8551571576477137,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,5,enhanced_local,lit,LIT-i2,iterations,2.0,True,12.244066923856735,0.9912782613061298,0.9918952321257595,0.9645465882772136,0.9645465882772136,0.9645465882772136,0.9682880177869704,16839,16839,16839,33678,18382,253,15549,0.46169606271156244,14697,0.013087251125205016,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,5,enhanced_local,lit,LIT-i4,iterations,4.0,False,23.184247663710266,0.9884390762844814,0.9889234765579318,0.9499376447532514,0.9499376447532514,0.9499376447532514,0.9553209942145784,16839,16839,16839,33678,18970,13,14721,0.4371102797078211,14697,0.008378809131686281,1,1,0,1,False
