benchmark,network_id,network,domain,negative_ratio,is_primary_ratio,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,degree_based,pa,PA,0.8628888089330177,0.004232154817945291,0.8421915541344399,0.0054118808866969745,0.7597409606044253,0.007030164735879981,0.7597409606044253,0.007030164735879981,0.7597409606044252,0.007030164735879957,0.7891579073809867,0.006257773667806515
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,quasi_local_walk,pfp,PFP-l3,0.9810902095099152,0.0039359048233712475,0.9815711689944895,0.0032541197698459333,0.9675121424716675,0.00478753483350607,0.9675121424716675,0.00478753483350607,0.9675121424716675,0.00478753483350607,0.9724936590610757,0.004161737124625949
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_similarity,ra,RA,0.9667647408342134,0.003671798954338585,0.9666411056122,0.0037089697073379464,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9482439093259798,0.004997229373534055
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,enhanced_local,ra_cni,RA-CNI,0.9815997873654503,0.0031757162412137836,0.9815060771334185,0.0030986198165334974,0.9671883432271992,0.005223894242991951,0.9671883432271992,0.005223894242991951,0.9671883432271992,0.005223894242991951,0.9723512695160966,0.00444141446985952
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_similarity,sa,SA,0.9656977021096192,0.0041908399880069705,0.9659397735735199,0.003948871216039916,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.948110179679136,0.005060425104724581
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,local_similarity,so,SO,0.9656786264203292,0.004077585582424876,0.9659318518794656,0.003877756448344444,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9481121782155393,0.005046877448516734
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,True,quasi_local_walk,srw,SRW-l3,0.9830306537905141,0.0028679149873342786,0.9826687022313839,0.0029212844917775403,0.9677280086346466,0.0052238942429918955,0.9677280086346466,0.0052238942429918955,0.9677280086346466,0.0052238942429918955,0.9729435889688958,0.004400893506398309
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_similarity,aa,AA,0.943375406977059,0.005924939514718523,0.9666768114831944,0.0035476047443072987,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9452702340108404,0.006017038078989418
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,enhanced_local,car_aa,CAR-AA,0.7509180186891534,0.014379027348664518,0.8505962676588977,0.008627383252067923,0.7174311926605504,0.014168658078674741,0.7174311926605504,0.014168658078674741,0.7174311926605504,0.014168658078674738,0.75893512401168,0.01246377551810053
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,enhanced_local,car_cn,CAR-CN,0.7505504232949516,0.014256095725210338,0.8505724152051093,0.008618804217526288,0.7174311926605504,0.014168658078674741,0.7174311926605504,0.014168658078674741,0.7174311926605504,0.014168658078674738,0.758908898247752,0.012449659395084701
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,enhanced_local,car_ra,CAR-RA,0.7510041233649777,0.01439217272030449,0.850605960084564,0.008628705749341894,0.7174311926605504,0.014168658078674741,0.7174311926605504,0.014168658078674741,0.7174311926605504,0.014168658078674738,0.7589464070506184,0.012465831794296906
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_similarity,cn,CN,0.9389930155602471,0.006074024646255202,0.9663316644382048,0.003557637557973372,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9450366040150335,0.006029004234753562
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,quasi_local_path,fl,FL-l3,0.9648769666130372,0.004565079887093331,0.9820011830118105,0.0026840159458522035,0.9489476524554776,0.0059314114037924085,0.9489476524554776,0.0059314114037924085,0.9489476524554776,0.0059314114037924085,0.9565989080346441,0.005038728819534602
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,enhanced_local,fsw,FSW,0.940898363663422,0.005979768374147948,0.9663046491315697,0.00354751876303597,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.945003972311517,0.006025607367133159
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_similarity,hdi,HDI,0.9383931550222261,0.007244408292433864,0.9660354222044502,0.0036050849263568616,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9446155615916304,0.006278791437167784
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_similarity,hpi,HPI,0.9299028174466845,0.006916553929747938,0.9656394714715624,0.0035771299339404775,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.943258239170461,0.006211020782998059
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,enhanced_local,ia1,IA1,0.9434329154197713,0.005913344615865652,0.9666853156547527,0.003544565394277877,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9452776718992333,0.006016007048430937
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,enhanced_local,ia2,IA2,0.9431781051452418,0.00590101458811507,0.9666443092384718,0.003543123718751022,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9452483353118927,0.006013662807507643
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_similarity,ja,JA,0.938524142191771,0.007298196576655787,0.9660570204702982,0.003609836984735099,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9446243989524371,0.006281135617512897
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,enhanced_local,lit,LIT-i2,0.8864988395888507,0.010883239379921429,0.9330489464583767,0.006508380620774405,0.8700485698866703,0.011844395587625406,0.8700485698866703,0.011844395587625406,0.8700485698866703,0.011844395587625406,0.8902222260216106,0.010098350148533788
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_similarity,llhn,LLHN,0.9176684675922819,0.00899471913520792,0.9646395672891117,0.0036222757512814788,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9405543252980545,0.007063597795767425
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_bayesian,lnb_aa,LNB-AA,0.9432255724866812,0.00590799189836352,0.9666408784459734,0.0035421744310753602,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9452468480210431,0.006014474777953932
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_bayesian,lnb_cn,LNB-CN,0.9417652802644081,0.00597313689001698,0.9664058604226632,0.003540310265559589,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9450727258118871,0.0060220815220479946
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_bayesian,lnb_ra,LNB-RA,0.9434372171477955,0.00581804179356426,0.9666777143233256,0.003532930266748193,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9452716900252387,0.006002781145112163
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,quasi_local_path,lpi,LPI-beta-0.001,0.9648769666130372,0.004565079887093331,0.9820011830118105,0.0026840159458522035,0.9489476524554776,0.0059314114037924085,0.9489476524554776,0.0059314114037924085,0.9489476524554776,0.0059314114037924085,0.9565989080346441,0.005038728819534602
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,quasi_local_walk,lrw,LRW-l3,0.9179227122316347,0.008207138559011297,0.9522825808063761,0.004896509391444568,0.9019967620075553,0.008520904932719318,0.9019967620075553,0.008520904932719318,0.9019967620075553,0.00852090493271936,0.917037449513194,0.007268194592289895
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,0.9630894535821571,0.00452119116008123,0.9816290789079363,0.0026671515527197185,0.9420399352401511,0.0057696264483126074,0.9420399352401511,0.0057696264483126074,0.9420399352401511,0.0057696264483126074,0.9505394717505548,0.0050284551802096435
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,degree_based,pa,PA,0.658658731740225,0.007437372405120353,0.8423357173166777,0.00426681884712885,0.5866162978953049,0.007574564947446431,0.5866162978953049,0.007574564947446431,0.5866162978953049,0.007574564947446431,0.6319007391714001,0.006898168829220237
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,quasi_local_walk,pfp,PFP-l3,0.9590425672217038,0.004193641880874526,0.9815276229762911,0.0026503695099887063,0.9467889908256881,0.0061483973528877155,0.9467889908256881,0.0061483973528877155,0.9467889908256881,0.0061483973528877155,0.9537221364433552,0.005170810416583924
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_similarity,ra,RA,0.9433893084696917,0.005698160338661025,0.9666844419384967,0.003522704452418362,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9452707117970848,0.005985468875990327
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,enhanced_local,ra_cni,RA-CNI,0.9627010944921605,0.004525540056373091,0.9813799474547042,0.002664524166893494,0.9420399352401511,0.0057696264483126074,0.9420399352401511,0.0057696264483126074,0.9420399352401511,0.0057696264483126074,0.9505404067559364,0.005028483076872067
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_similarity,sa,SA,0.9386926503783657,0.007356429980754941,0.9660755723788002,0.003615214458168581,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9446274027775035,0.00628673958413854
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,local_similarity,so,SO,0.938524142191771,0.007298196576655787,0.9660570204702982,0.003609836984735099,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9349163518618457,0.007145218906708519,0.9446243989524371,0.006281135617512897
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,False,quasi_local_walk,srw,SRW-l3,0.9694069964457915,0.004380573553410769,0.9826604951233527,0.0026976917567783846,0.9536967080410147,0.0042732504899792995,0.9536967080410147,0.0042732504899792995,0.9536967080410147,0.0042732504899792995,0.9609726984863729,0.0036223589767838574
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,local_similarity,aa,AA,0.9365427823897106,0.00657972983073544,0.9666833031949764,0.003560626383093939,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9343766864543983,0.007042581874909795,0.9446063923503528,0.0059419675607749545
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,enhanced_local,car_aa,CAR-AA,0.7278950326962438,0.01568078495132619,0.850586758713645,0.008641860448336675,0.7087965461413923,0.01656166225441214,0.7087965461413923,0.01656166225441214,0.7087965461413923,0.01656166225441214,0.751533010519524,0.014490353495964175
standard,ca_grqc,ca-GrQc,scientific_collaboration,10,False,enhanced_local,car_cn,CAR-CN,0.7271100876653913,0.01554480805446424,0.8505592279144188,0.008635781084813022,0.7087965461413923,0.01656166225441214,0.7087965461413923,0.01656166225441214,0.7087965461413923,0.01656166225441214,0.7514731589455381,0.014472740018817955
