benchmark,network_id,network,domain,fold,family,analysis_family,candidate_count,family_scoring_seconds,method_count,candidates_per_second
standard,email_univ,email-univ,communication,4,degree_based,standard_local,1728,0.0041091116145253,1,420528.85443454306
standard,email_univ,email-univ,communication,4,enhanced_local,enhanced_local,1728,0.1798631749115884,8,9607.302889262335
standard,email_univ,email-univ,communication,4,local_bayesian,local_bayesian,1728,0.0283159473910927,3,61025.68196406432
standard,email_univ,email-univ,communication,4,local_similarity,standard_local,1728,0.0126799242570996,9,136278.4165711777
standard,email_univ,email-univ,communication,4,quasi_local_path,quasi_local_path,1728,0.0650072530843317,3,26581.649247020552
standard,email_univ,email-univ,communication,4,quasi_local_walk,quasi_local_walk,1728,1.047106283251196,3,1650.2622777075446
standard,email_univ,email-univ,communication,5,degree_based,standard_local,1726,0.0031981696374714,1,539683.6927526597
standard,email_univ,email-univ,communication,5,enhanced_local,enhanced_local,1726,0.1638167379423976,8,10536.163896798558
standard,email_univ,email-univ,communication,5,local_bayesian,local_bayesian,1726,0.0224659447558224,3,76827.39447459384
standard,email_univ,email-univ,communication,5,local_similarity,standard_local,1726,0.0157881109043955,9,109322.76891464398
standard,email_univ,email-univ,communication,5,quasi_local_path,quasi_local_path,1726,0.0856846310198307,3,20143.635789253007
standard,email_univ,email-univ,communication,5,quasi_local_walk,quasi_local_walk,1726,1.0377212530001998,3,1663.2597578683951
standard,power_1138_bus,power-1138-bus,infrastructure,1,degree_based,standard_local,130,0.0028378278948366,1,45809.68431402543
standard,power_1138_bus,power-1138-bus,infrastructure,1,enhanced_local,enhanced_local,130,0.0235115312971174,8,5529.201750289165
standard,power_1138_bus,power-1138-bus,infrastructure,1,local_bayesian,local_bayesian,130,0.0089300628751516,3,14557.568274433128
standard,power_1138_bus,power-1138-bus,infrastructure,1,local_similarity,standard_local,130,0.0026153828948736,9,49705.915051601965
standard,power_1138_bus,power-1138-bus,infrastructure,1,quasi_local_path,quasi_local_path,130,0.0052593168802559,3,24718.039045723872
standard,power_1138_bus,power-1138-bus,infrastructure,1,quasi_local_walk,quasi_local_walk,130,0.0158476717770099,3,8203.097706035913
standard,power_1138_bus,power-1138-bus,infrastructure,2,degree_based,standard_local,128,0.0019723698496818,1,64896.55072584388
