benchmark,negative_ratio,is_primary_ratio,family,method_id,method,network_count,average_precision_mean,average_precision_sd_across_networks,roc_auc_mean,roc_auc_sd_across_networks,precision_mean,precision_sd_across_networks,recall_mean,recall_sd_across_networks,f1_mean,f1_sd_across_networks,ndcg_mean,ndcg_sd_across_networks,average_precision_rank
standard,5,False,local_similarity,cn,CN,8,0.7562870268047462,0.18965510127126614,0.878655261222918,0.1218302832969751,0.7298284534823982,0.19321539545889393,0.7298284534823982,0.19321539545889393,0.7298284534823982,0.1932153954588939,0.7709292236390035,0.1539619691123444,16
standard,5,False,quasi_local_path,fl,FL-l3,8,0.8227204625888094,0.13085146032180803,0.9193924583673121,0.08150632980502517,0.7793125459992634,0.13652696010952045,0.7793125459992634,0.13652696010952045,0.7793125459992634,0.13652696010952045,0.8130534843409996,0.11024762458010935,2
standard,5,False,enhanced_local,fsw,FSW,8,0.7643455309993143,0.19231914371381126,0.8787832752589981,0.12212353135495486,0.7304732420539823,0.1936289469395788,0.7304732420539823,0.1936289469395788,0.7304732420539823,0.1936289469395788,0.7717488318848149,0.15428293703423862,15
standard,5,False,local_similarity,hdi,HDI,8,0.7475739712605921,0.18849006278011377,0.8753981584986316,0.12013562301290237,0.7176474135107219,0.18986624669442959,0.7176474135107219,0.18986624669442959,0.7176474135107219,0.18986624669442956,0.758038608623378,0.1520643238295786,20
standard,5,False,local_similarity,hpi,HPI,8,0.6919011291991958,0.18761107895701085,0.8712364585254677,0.11818264050961402,0.7048056992614212,0.19153941945583508,0.7048056992614212,0.19153941945583508,0.7048056992614212,0.19153941945583508,0.7313548449268071,0.1591367703512973,22
standard,5,False,enhanced_local,ia1,IA1,8,0.7739193749408779,0.19341833032131758,0.8810126371363802,0.123253116708115,0.7390683389433375,0.19581088139005126,0.7390683389433375,0.19581088139005126,0.7390683389433375,0.19581088139005126,0.7801865269484535,0.15536653153454869,7
standard,5,False,enhanced_local,ia2,IA2,8,0.7699252157555605,0.19412353938485463,0.8804258085514883,0.12311624706506989,0.7381077307592285,0.19569181206052857,0.7381077307592285,0.19569181206052857,0.7381077307592285,0.19569181206052855,0.7787080390527121,0.15543689389445473,11
standard,5,False,local_similarity,ja,JA,8,0.7522233100470592,0.189877195758697,0.8768417333355626,0.12104872823703065,0.7230572102607846,0.19048932934869034,0.7230572102607846,0.19048932934869034,0.7230572102607846,0.1904893293486903,0.7627950907129798,0.1519262473887604,17
standard,5,False,enhanced_local,lit,LIT-i2,8,0.7067289141729889,0.25167914879617653,0.8424598895941626,0.16098450507247702,0.6751928328335359,0.24031978970991594,0.6751928328335359,0.24031978970991594,0.6751928328335359,0.24031978970991594,0.7178651706172181,0.2034454324795233,21
standard,5,False,local_similarity,llhn,LLHN,8,0.6302299837227818,0.18718289025525814,0.8570882575794228,0.11135738490535974,0.6567344760436098,0.19639840401492625,0.6567344760436098,0.19639840401492625,0.6567344760436098,0.19639840401492623,0.6814001703911052,0.17459291059935497,23
standard,5,False,local_bayesian,lnb_aa,LNB-AA,8,0.7708127823690252,0.1915870197612684,0.8803768564405208,0.12278824504551067,0.7362286669628118,0.194718575212756,0.7362286669628118,0.194718575212756,0.7362286669628118,0.194718575212756,0.7773400599525142,0.1545676491041758,10
standard,5,False,local_bayesian,lnb_cn,LNB-CN,8,0.7672407956335334,0.190188614095783,0.8796175016600529,0.1223071487538254,0.7328100111466401,0.19353614052182966,0.7328100111466401,0.19353614052182966,0.7328100111466402,0.19353614052182963,0.7740306113001914,0.15371929155296438,13
standard,5,False,local_bayesian,lnb_ra,LNB-RA,8,0.7729851147072466,0.19402964395251993,0.8809424622251217,0.12329843768370898,0.7392657408666379,0.19605070497167978,0.7392657408666379,0.19605070497167978,0.7392657408666379,0.19605070497167978,0.779912333926596,0.15574771210375676,9
standard,5,False,quasi_local_path,lpi,LPI-beta-0.001,8,0.8225520170403995,0.13080850486580015,0.9193757712878793,0.08149637013405277,0.7791983850364427,0.13655855242929632,0.7791983850364427,0.13655855242929632,0.7791983850364427,0.13655855242929632,0.8129319025879659,0.11030244040187982,3
standard,5,False,quasi_local_walk,lrw,LRW-l3,8,0.7671948345114517,0.1814334859175578,0.8866913656961565,0.11594236974665234,0.725763656356244,0.18129278438743945,0.725763656356244,0.18129278438743945,0.725763656356244,0.18129278438743945,0.7658901765498444,0.1455453533919862,14
standard,5,False,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,8,0.8036708505852637,0.1333808294522684,0.9146302588261672,0.0796579777739581,0.7622714639390065,0.1378413382017077,0.7622714639390065,0.1378413382017077,0.7622714639390065,0.13784133820170766,0.7962082117843491,0.1153577730887794,4
standard,5,False,degree_based,pa,PA,8,0.5079505669618952,0.13524090179783474,0.7912982337979086,0.08275558119626596,0.48544823284385563,0.10301331842568917,0.48544823284385563,0.10301331842568917,0.4854482328438556,0.10301331842568918,0.51902532444073,0.102818862520684,27
standard,5,False,quasi_local_walk,pfp,PFP-l3,8,0.789280376068846,0.13314802656770922,0.9143975508216069,0.07954391670488158,0.7621734064196809,0.13946951706217467,0.7621734064196809,0.13946951706217467,0.7621734064196809,0.13946951706217467,0.7917488776876143,0.11844684037570467,6
