benchmark,network_id,network,domain,family,analysis_family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,local_bayesian,lnb_cn,LNB-CN,0.9363908910736363,0.002610987218418568,0.9363903569418964,0.0025911047712672618,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.904085090413502,0.004351961427250771
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,local_bayesian,lnb_ra,LNB-RA,0.9365277071089485,0.0026101969924374672,0.9364709735412899,0.002586717082841877,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9041020613088822,0.004353883721506575
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,aa,AA,0.9365702640989475,0.002562805655307993,0.9365065520784486,0.0025591689303838963,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9041081437162009,0.00434742053377409
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,cn,CN,0.9358040715979937,0.0024963680681601473,0.9362727446126392,0.0025190964839515322,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9040596363104152,0.004340545101160535
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,hdi,HDI,0.9356346079265784,0.0026495295381145528,0.9360742729051404,0.00261161559800528,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9039882087891524,0.004353560564693153
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,hpi,HPI,0.9353547260739464,0.0020944025117562623,0.9360548671777297,0.0023758050874923857,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9038927655009568,0.0041701749378292505
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,ja,JA,0.9357129012711238,0.0025815846627501317,0.9361123558444635,0.0025716144133066427,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9039958665610752,0.004345291106569422
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,llhn,LLHN,0.9347914608393489,0.0024354453576269724,0.9358658691236508,0.0024965014284134535,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9037671089597815,0.0042431907336309685
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,ra,RA,0.9365436183692493,0.0025953491464331064,0.9364881015574408,0.00257676670302217,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9041053808948997,0.004351767426493655
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,sa,SA,0.9357643564724466,0.002479767861364555,0.9361311341539634,0.0025090194132202604,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.904000685800904,0.0043339421526256885
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,so,SO,0.9357129012711238,0.0025815846627501317,0.9361123558444635,0.0025716144133066427,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9039958665610752,0.004345291106569422
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,quasi_local_path,fl,FL-l3,0.9678464769819755,0.0019264698168619276,0.9677248014786739,0.001919732951675132,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.9501044336204376,0.002935635684504409
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,quasi_local_path,lpi,LPI-beta-0.001,0.9678464769819755,0.0019264698168619276,0.9677248014786739,0.001919732951675132,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.9501044336204376,0.002935635684504409
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,0.9678914961167783,0.0018166891323755437,0.9675374445233553,0.0018592376072024525,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.9500852009094981,0.002924498470266342
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,quasi_local_walk,lrw,LRW-l3,0.9259987412329919,0.002569186943239032,0.924766876376966,0.0025596422833334747,0.8718532274141836,0.004244358082872361,0.8718532274141836,0.004244358082872361,0.8718532274141836,0.004244358082872361,0.8900501559926507,0.0036525645555173123
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,quasi_local_walk,pfp,PFP-l3,0.9677402512371375,0.0017826602868789769,0.9676000913661834,0.0018889790119482875,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.9500543820844639,0.002915123271194384
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,quasi_local_walk,srw,SRW-l3,0.96873017319694,0.0019368896998664138,0.9681850719600694,0.0019305222770686031,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.9416164587478273,0.003436975414135884,0.950180722407665,0.0029382286696863925
